OpenMP (AVX-2),,OpenMP (AVX-512),,Rex,
0.066450,0.000000,0.068300,0.000000,0.067650,0.000000
0.066300,0.000000,0.069300,0.000000,0.067250,0.000000
0.065900,0.000000,0.069750,0.000000,0.066900,0.000000
0.067150,0.000000,0.070200,0.000000,0.067800,0.000000
0.067250,0.000000,0.069200,0.000000,0.067000,0.000000
0.068000,0.000000,0.069400,0.000000,0.067150,0.000000
0.067500,0.000000,0.068850,0.000000,0.069200,0.000000
0.066500,0.000000,0.068350,0.000000,0.066950,0.000000
0.067000,0.000000,0.069650,0.000000,0.068000,0.000000
0.065900,0.000000,0.068250,0.000000,0.068050,0.000000
=AVERAGE(A2:A11),,=AVERAGE(C2:C11),,=AVERAGE(E2:E11)
