OpenMP (AVX-2),,OpenMP (AVX-512),,Rex,
0.175150,20.691406,0.180400,12.890625,0.172800,-3.822266
0.176250,2.384766,0.182400,19.373047,0.174450,15.730469
0.184800,8.769531,0.181150,22.410156,0.172550,29.275391
0.183900,2.015625,0.181700,7.789062,0.175100,17.552734
0.179750,4.191406,0.179600,13.097656,0.177750,26.093750
0.184700,22.587891,0.178300,12.876953,0.174750,7.197266
0.181250,8.734375,0.186400,16.330078,0.177900,12.457031
0.174250,8.408203,0.179150,10.212891,0.175700,-5.792969
0.177750,-1.939453,0.177550,26.949219,0.177500,-0.015625
0.184000,36.138672,0.178800,21.566406,0.177250,15.472656
=AVERAGE(A2:A11),,=AVERAGE(C2:C11),,=AVERAGE(E2:E11)
