Serial,,OpenMP (AVX-2),,OpenMP (AVX-512),,Rex,
0.274400,,0.037300,2807.687500,0.035400,2801.765625,0.035750,2781.203125
0.274400,,0.036900,2799.734375,0.035400,2781.296875,0.035300,2818.203125
0.281450,,0.036350,2786.343750,0.035600,2816.437500,0.034700,2813.218750
0.278000,,0.036600,2811.625000,0.035500,2767.031250,0.035700,2809.328125
0.288400,,0.037100,2765.984375,0.034400,2809.546875,0.035550,2814.546875
0.278350,,0.036950,2805.453125,0.035100,2772.406250,0.035500,2810.562500
0.273700,,0.037400,2795.468750,0.034150,2806.281250,0.035300,2815.578125
0.274350,,0.036700,2814.843750,0.035700,2825.406250,0.035250,2829.937500
0.282950,,0.036550,2817.796875,0.035100,2813.484375,0.035450,2825.015625
0.274600,,0.036450,2804.125000,0.035350,2793.125000,0.036150,2835.015625
=AVERAGE(A2:A11),,=AVERAGE(C2:C11),,=AVERAGE(E2:E11),,=AVERAGE(G2:G11)
