Serial,,OpenMP (AVX-2),,OpenMP (AVX-512),,Rex,
0.026750,20.000000,0.002650,-708908.000000,0.002450,-708904.000000,0.002500,-709156.000000
0.026700,20.000000,0.002400,-701980.000000,0.002800,-701996.000000,0.002650,-705828.000000
0.027050,20.000000,0.002400,-707132.000000,0.002850,-707060.000000,0.002550,-707060.000000
0.027000,20.000000,0.002300,-703664.000000,0.002400,-703788.000000,0.002550,-703680.000000
0.027350,20.000000,0.002400,-706136.000000,0.002350,-706204.000000,0.002500,-707248.000000
0.027200,20.000000,0.002450,-707016.000000,0.002750,-704600.000000,0.002450,-704600.000000
0.027150,20.000000,0.002700,-703424.000000,0.002400,-703712.000000,0.002450,-703356.000000
0.026700,20.000000,0.002400,-705712.000000,0.002950,-705540.000000,0.002350,-705784.000000
0.026900,20.000000,0.002450,-706268.000000,0.002600,-700900.000000,0.002450,-700880.000000
0.027050,20.000000,0.002400,-703704.000000,0.002550,-703724.000000,0.002450,-703600.000000
=AVERAGE(A2:A11),,=AVERAGE(C2:C11),,=AVERAGE(E2:E11),,=AVERAGE(G2:G11)
